id,category,question,expected_checks
1,"sales_trend","Based on today sales trend, what should I do next to increase revenue?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
2,"sales_trend","Based on today sales trend, what should I do next to improve margin?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
3,"sales_trend","Based on today sales trend, what should I do next to avoid stockouts?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
4,"sales_trend","Based on today sales trend, what should I do next to reduce slow-moving items?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
5,"sales_trend","Based on this week sales trend, what should I do next to increase revenue?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
6,"sales_trend","Based on this week sales trend, what should I do next to improve margin?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
7,"sales_trend","Based on this week sales trend, what should I do next to avoid stockouts?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
8,"sales_trend","Based on this week sales trend, what should I do next to reduce slow-moving items?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
9,"sales_trend","Based on last 7 days sales trend, what should I do next to increase revenue?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
10,"sales_trend","Based on last 7 days sales trend, what should I do next to improve margin?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
11,"sales_trend","Based on last 7 days sales trend, what should I do next to avoid stockouts?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
12,"sales_trend","Based on last 7 days sales trend, what should I do next to reduce slow-moving items?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
13,"sales_trend","Based on this month sales trend, what should I do next to increase revenue?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
14,"sales_trend","Based on this month sales trend, what should I do next to improve margin?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
15,"sales_trend","Based on this month sales trend, what should I do next to avoid stockouts?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
16,"sales_trend","Based on this month sales trend, what should I do next to reduce slow-moving items?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
17,"sales_trend","Based on last month sales trend, what should I do next to increase revenue?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
18,"sales_trend","Based on last month sales trend, what should I do next to improve margin?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
19,"sales_trend","Based on last month sales trend, what should I do next to avoid stockouts?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
20,"sales_trend","Based on last month sales trend, what should I do next to reduce slow-moving items?","uses trend facts, compares periods, gives concrete actions, no fabricated numbers, includes confidence"
21,"margin","From today margin data, which actions can help me increase revenue without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
22,"margin","From today margin data, which actions can help me improve margin without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
23,"margin","From today margin data, which actions can help me avoid stockouts without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
